GO_ID,IC
GO:0009835,2.807354922057604
GO:0006950,2.807354922057604
GO:0007010,2.807354922057604
GO:0005515,2.807354922057604
GO:0008092,2.807354922057604
GO:0005886,2.807354922057604
GO:0005737,2.807354922057604
GO:0030488,0.0
GO:0031515,0.0
GO:0016429,0.0
GO:0008270,0.0
GO:0016042,0.0
GO:0006629,0.0
GO:0016787,0.0
GO:0016021,0.0
GO:0006122,0.0
GO:0008121,0.0
GO:0009626,0.0
GO:0006355,0.0
GO:0003677,0.0
GO:0006468,0.0
GO:0005524,0.0
GO:0004672,0.0
GO:0006886,0.0
GO:0008536,0.0
GO:0006397,0.0
GO:0005634,0.0
GO:0003723,0.0
GO:0003676,0.0
GO:0055085,0.0
GO:0016020,0.0
GO:0015267,0.0
GO:0006511,0.0
GO:0003700,0.0
GO:0004842,0.0
GO:0008289,0.0
GO:0006457,0.0
GO:0000413,0.0
GO:0003755,0.0
GO:0055114,0.0
GO:0016491,0.0
GO:0005622,0.0
GO:0008610,0.0
GO:0016765,0.0
GO:0007018,0.0
GO:0008017,0.0
GO:0003777,0.0
GO:0015991,0.0
GO:0033179,0.0
GO:0000220,0.0
GO:0015078,0.0
GO:0003682,0.0
GO:0006231,0.0
GO:0006730,0.0
GO:0046654,0.0
GO:0004146,0.0
GO:0004799,0.0
GO:0006633,0.0
GO:0003824,0.0
GO:0016747,0.0
GO:0051082,0.0
GO:0016049,0.0
GO:0010215,0.0
GO:0031225,0.0
GO:0004519,0.0
GO:0061630,0.0
GO:0006486,0.0
GO:0008417,0.0
GO:0006412,0.0
GO:0005840,0.0
GO:0003735,0.0
GO:0019441,0.0
GO:0004061,0.0
GO:0009451,0.0
GO:0001522,0.0
GO:0009982,0.0
GO:0070461,0.0
GO:0005509,0.0
GO:0030001,0.0
GO:0046872,0.0
GO:0016301,0.0
GO:0004674,0.0
GO:0044877,0.0
GO:0006855,0.0
GO:0015297,0.0
GO:0015238,0.0
GO:0022857,0.0
GO:0005215,0.0
GO:0016255,0.0
GO:0042765,0.0
GO:0006338,0.0
GO:0031011,0.0
GO:0019904,0.0
GO:0047262,0.0
GO:0016757,0.0
GO:0048268,0.0
GO:0030136,0.0
GO:0005545,0.0
GO:0030276,0.0
GO:0005543,0.0
GO:0006979,0.0
GO:0020037,0.0
GO:0004601,0.0
GO:0006424,0.0
GO:0043039,0.0
GO:0006418,0.0
GO:0004812,0.0
GO:0004818,0.0
GO:0000166,0.0
GO:0000049,0.0
GO:0015936,0.0
GO:0008299,0.0
GO:0050661,0.0
GO:0050662,0.0
GO:0004420,0.0
GO:0016616,0.0
GO:0016575,0.0
GO:0004407,0.0
GO:0051013,0.0
GO:0008352,0.0
GO:0030150,0.0
GO:0005741,0.0
GO:0008320,0.0
GO:0032259,0.0
GO:0008168,0.0
GO:0016272,0.0
GO:0004523,0.0
GO:0000398,0.0
GO:0046540,0.0
GO:0006807,0.0
GO:0004356,0.0
GO:0046983,0.0
GO:0019752,0.0
GO:0006520,0.0
GO:0016831,0.0
GO:0030170,0.0
GO:0015074,0.0
GO:0016192,0.0
GO:0008375,0.0
GO:0015031,0.0
GO:0010207,0.0
GO:0010374,0.0
GO:0006281,0.0
GO:0030915,0.0
GO:0043531,0.0
GO:0032147,0.0
GO:0060236,0.0
GO:0005874,0.0
GO:0005819,0.0
GO:0006869,0.0
GO:0042176,0.0
GO:0000502,0.0
GO:0030234,0.0
GO:0006635,0.0
GO:0006631,0.0
GO:0005777,0.0
GO:0071949,0.0
GO:0003997,0.0
GO:0016627,0.0
GO:0016567,0.0
GO:0051537,0.0
GO:0016679,0.0
GO:0005096,0.0
GO:0006086,0.0
GO:0004739,0.0
GO:0016810,0.0
GO:0006006,0.0
GO:0004345,0.0
GO:0006508,0.0
GO:0004222,0.0
GO:0016887,0.0
GO:0042626,0.0
GO:0006821,0.0
GO:0005247,0.0
GO:0046873,0.0
GO:0009773,0.0
GO:0009644,0.0
GO:0000974,0.0
GO:0003690,0.0
GO:0031461,0.0
GO:0031625,0.0
GO:0042255,0.0
GO:0009909,0.0
GO:0008234,0.0
GO:0005525,0.0
GO:0003924,0.0
GO:0048017,0.0
GO:0006654,0.0
GO:0004630,0.0
GO:0000160,0.0
GO:0007165,0.0
GO:0043565,0.0
GO:0000943,0.0
GO:0006606,0.0
GO:0061608,0.0
GO:0008565,0.0
GO:0006351,0.0
GO:0046912,0.0
GO:0042545,0.0
GO:0005618,0.0
GO:0030599,0.0
GO:0046835,0.0
GO:0006012,0.0
GO:0004335,0.0
GO:0005534,0.0
GO:0016773,0.0
GO:0004857,0.0
GO:0006812,0.0
GO:0006885,0.0
GO:0006814,0.0
GO:0015385,0.0
GO:0015299,0.0
GO:0006259,0.0
GO:0008094,0.0
GO:0003697,0.0
GO:0048544,0.0
GO:0000290,0.0
GO:0009733,0.0
GO:0006777,0.0
GO:0008265,0.0
GO:0030151,0.0
GO:0009058,0.0
GO:0051301,0.0
GO:0008360,0.0
GO:0008764,0.0
GO:0016874,0.0
GO:0015986,0.0
GO:0046933,0.0
GO:0010181,0.0
GO:0016702,0.0
GO:0016310,0.0
GO:0009723,0.0
GO:0005789,0.0
GO:0051740,0.0
GO:0038199,0.0
GO:0000155,0.0
GO:0016772,0.0
GO:0005975,0.0
GO:0004650,0.0
GO:0008083,0.0
GO:0016579,0.0
GO:0036459,0.0
GO:0030247,0.0
GO:0071704,0.0
GO:0016868,0.0
GO:0004610,0.0
GO:0005506,0.0
GO:0016705,0.0
GO:0006952,0.0
GO:0004707,0.0
GO:0006437,0.0
